Data;Semana;Baia;Animal;Periodo;Horario;Bloco;Tratamento;Enriquecimento;Sexo;Etograma
29/04/2019;1;38;92;manha;10:00;medio;T6;Nenhum;Femea;Calmo
29/04/2019;1;43;8;manha;10:00;pesado;T4;Corrente;Femea;Inter. objeto
29/04/2019;1;44;115;manha;10:00;pesado;T6;Nenhum;Femea;Inter. meio amb. 
29/04/2019;1;45;192;manha;10:00;pesado;T5;Corda;Femea;
29/04/2019;1;46;93;manha;10:00;pesado;T4;Corrente;Femea;Calmo
29/04/2019;1;47;387;manha;10:00;pesado;T6;Nenhum;Femea;Calmo
29/04/2019;1;48;439;manha;10:00;pesado;T2;Corda;Macho;Calmo
29/04/2019;1;49;355;manha;10:00;pesado;T3;Nenhum;Macho;Calmo
29/04/2019;1;50;309;manha;10:00;pesado;T3;Nenhum;Macho;Inter. animal 
29/04/2019;1;51;167;manha;10:00;pesado;T5;Corda;Femea;Calmo
29/04/2019;1;52;460;manha;10:00;pesado;T1;Corrente;Macho;Calmo
29/04/2019;1;53;333;manha;10:00;pesado;T1;Corrente;Macho;Calmo
29/04/2019;1;54;466;manha;10:00;pesado;T2;Corda;Macho;Calmo
29/04/2019;1;55;330;manha;10:00;leve;T6;Nenhum;Femea;Locomovendo
29/04/2019;1;56;286;manha;10:00;leve;T2;Corda;Macho;Calmo
29/04/2019;1;57;398;manha;10:00;leve;T2;Corda;Macho;Calmo
29/04/2019;1;58;474;manha;10:00;leve;T1;Corrente;Macho;Inter. objeto
29/04/2019;1;59;247;manha;10:00;leve;T3;Nenhum;Macho;Inter. animal 
29/04/2019;1;60;119;manha;10:00;leve;T4;Corrente;Femea;Inter. meio amb. 
29/04/2019;1;61;35;manha;10:00;leve;T5;Corda;Femea;Inter. meio amb. 
29/04/2019;1;62;373;manha;10:00;leve;T3;Nenhum;Macho;Calmo
29/04/2019;1;63;197;manha;10:00;leve;T4;Corrente;Femea;Inter. meio amb. 
29/04/2019;1;64;132;manha;10:00;leve;T6;Nenhum;Femea;Calmo
29/04/2019;1;65;243;manha;10:00;leve;T1;Corrente;Macho;Inter. meio amb. 
29/04/2019;1;66;1;manha;10:00;leve;T5;Corda;Femea;Inter. meio amb. 
29/04/2019;1;67;7;manha;10:00;medio;T5;Corda;Femea;Calmo
29/04/2019;1;68;429;manha;10:00;medio;T2;Corda;Macho;Inter. objeto
29/04/2019;1;69;329;manha;10:00;medio;T1;Corrente;Macho;Inter. objeto
29/04/2019;1;70;49;manha;10:00;medio;T5;Corda;Femea;Inter. meio amb. 
29/04/2019;1;71;172;manha;10:00;medio;T6;Nenhum;Femea;Inter. meio amb. 
29/04/2019;1;72;135;manha;10:00;medio;T4;Corrente;Femea;Calmo
29/04/2019;1;73;173;manha;10:00;medio;T6;Nenhum;Femea;Calmo
29/04/2019;1;74;328;manha;10:00;medio;T2;Corda;Macho;Calmo
29/04/2019;1;75;426;manha;10:00;medio;T1;Corrente;Macho;Inter. objeto
29/04/2019;1;76;189;manha;10:00;medio;T4;Corrente;Femea;Inter. objeto
29/04/2019;1;77;259;manha;10:00;medio;T3;Nenhum;Macho;Calmo
29/04/2019;1;78;396;manha;10:00;medio;T3;Nenhum;Macho;Calmo
29/04/2019;1;3;350;tarde;12:00;pesado;T2;Corda;Macho;Calmo
29/04/2019;1;4;310;tarde;12:00;pesado;T1;Corrente;Macho;Locomovendo
29/04/2019;1;5;482;tarde;12:00;pesado;T3;Nenhum;Macho;Calmo
29/04/2019;1;6;201;tarde;12:00;pesado;T3;Nenhum;Macho;Calmo
29/04/2019;1;7;24;tarde;12:00;pesado;T5;Corda;Femea;Calmo
29/04/2019;1;8;360;tarde;12:00;pesado;T2;Corda;Macho;Calmo
29/04/2019;1;9;378;tarde;12:00;pesado;T6;Nenhum;Femea;Calmo
29/04/2019;1;10;447;tarde;12:00;pesado;T1;Corrente;Macho;Calmo
