"","Parameter","average","lower","mode","higher","Category","Covariate","Time"
"beta[4,5,2]","beta",-0.240373782835668,-0.411735526063574,-0.238179711176705,-0.0609185051018911,"4","5","2"
"beta[5,5,2]","beta",-0.262494558212108,-0.428737065830677,-0.262656641363739,-0.083462041950874,"5","5","2"
"beta[6,5,2]","beta",-0.261936675970214,-0.444400099333182,-0.261542291866834,-0.0817308042465071,"6","5","2"
"beta[7,5,2]","beta",-0.259145679768007,-0.423183737138409,-0.259037271271328,-0.0847955309203515,"7","5","2"
"beta[1,6,2]","beta",0.680486042524379,0.511534667175951,0.68210036931581,0.847478861157042,"1","6","2"
"beta[2,6,2]","beta",0.335406675864997,0.160882991663064,0.334357835022795,0.50688310631783,"2","6","2"
"beta[3,6,2]","beta",0.0223108303945085,-0.148578417268895,0.0234965974690293,0.197247894629525,"3","6","2"
"beta[4,6,2]","beta",-0.239693485379464,-0.421703421146435,-0.238729037617553,-0.0525685133210901,"4","6","2"
"beta[5,6,2]","beta",-0.257890322741146,-0.441582173956285,-0.257269801982181,-0.0841698774380847,"5","6","2"
"beta[6,6,2]","beta",-0.265780954737837,-0.445781079602054,-0.265200011151081,-0.0877228957978097,"6","6","2"
"beta[7,6,2]","beta",-0.266824304965055,-0.447889560585735,-0.269425594214453,-0.0951344838445321,"7","6","2"
"beta[1,7,2]","beta",0.151348778006532,-0.0163506560049188,0.151762520420138,0.334729875493062,"1","7","2"
"beta[2,7,2]","beta",0.0816791952436025,-0.0914306666656727,0.0806444943864581,0.25775361043577,"2","7","2"
"beta[3,7,2]","beta",0.0647919177002674,-0.119382559243106,0.0660516765286716,0.265986790890031,"3","7","2"
"beta[4,7,2]","beta",-0.0627141184324982,-0.246951282141152,-0.0653315625419806,0.131442319189253,"4","7","2"
"beta[5,7,2]","beta",-0.0723238687956123,-0.262540436456537,-0.0716877900272344,0.115192028794386,"5","7","2"
"beta[6,7,2]","beta",-0.0791123002071875,-0.265750233981747,-0.0812132761588257,0.10309554039782,"6","7","2"
"beta[7,7,2]","beta",-0.077153491690739,-0.262544912863536,-0.0788193882081969,0.10304213182456,"7","7","2"
"beta[1,8,2]","beta",0.147796311462818,-0.0267379720122302,0.149894062317814,0.324049377346977,"1","8","2"
"beta[2,8,2]","beta",0.146388072037411,-0.0405021534404067,0.147092791780781,0.334052650068551,"2","8","2"
"beta[3,8,2]","beta",0.0290132371640343,-0.168990011616647,0.0303591379888735,0.217301628066419,"3","8","2"
"beta[4,8,2]","beta",-0.0804232120728505,-0.268888659858358,-0.0827848964820351,0.106341341529842,"4","8","2"
"beta[5,8,2]","beta",-0.082272295048519,-0.279686870317569,-0.0840093801902352,0.104664910916357,"5","8","2"
"beta[6,8,2]","beta",-0.0830896542092203,-0.276801991015715,-0.0800629796562916,0.100694717419306,"6","8","2"
"beta[7,8,2]","beta",-0.0727504775556677,-0.277097855265474,-0.072863910070519,0.131627652983473,"7","8","2"
"beta[1,1,3]","beta",0.219270660043989,0.0364903919939981,0.221231536910585,0.391265446654508,"1","1","3"
"beta[2,1,3]","beta",0.0934179845135356,-0.0797952430508464,0.0905672391241683,0.273393410711976,"2","1","3"
"beta[3,1,3]","beta",0.000186750778013965,-0.190285979623608,-0.00299934162167564,0.194668496995646,"3","1","3"
"beta[4,1,3]","beta",-0.0730387454368288,-0.25939882140817,-0.0726335401591853,0.10715552934589,"4","1","3"
"beta[5,1,3]","beta",-0.0808982149643678,-0.264517371053735,-0.0798923846648254,0.111768585186977,"5","1","3"
"beta[6,1,3]","beta",-0.0778124962646211,-0.27212785662862,-0.0767674425824497,0.122552893457459,"6","1","3"
"beta[7,1,3]","beta",-0.0812434707100075,-0.275888445622098,-0.0834841505278821,0.12574071959436,"7","1","3"
"beta[1,2,3]","beta",0.235976630655528,0.0772531825296244,0.231632362022057,0.407104238437247,"1","2","3"
"beta[2,2,3]","beta",0.10968850268201,-0.0663202504362109,0.105844849262882,0.282189948131066,"2","2","3"
"beta[3,2,3]","beta",-0.027965613729963,-0.208628364371129,-0.0284736199465785,0.161946833915367,"3","2","3"
"beta[4,2,3]","beta",-0.0751083231231155,-0.26170951340547,-0.0737284877030402,0.118522294371598,"4","2","3"
"beta[5,2,3]","beta",-0.0778257688528406,-0.265867690390269,-0.077675667356896,0.105879356208112,"5","2","3"
"beta[6,2,3]","beta",-0.0802583703081352,-0.271142261595554,-0.0758757442240471,0.11850440129641,"6","2","3"
"beta[7,2,3]","beta",-0.0830507162792414,-0.266681630878488,-0.0856562473268171,0.10697254684704,"7","2","3"
"beta[1,3,3]","beta",0.174620717353887,-0.00216937133322005,0.174881869315261,0.346376703480739,"1","3","3"
"beta[2,3,3]","beta",0.126890615674702,-0.0509594905678133,0.129113401581469,0.302170840804253,"2","3","3"
"beta[3,3,3]","beta",0.0108110446161141,-0.16513844942861,0.00873113032450822,0.190238174069536,"3","3","3"
"beta[4,3,3]","beta",-0.079727450596468,-0.258156390381683,-0.0757974583203528,0.108667871653131,"4","3","3"
"beta[5,3,3]","beta",-0.0745220130034408,-0.265657381040455,-0.0745844298827187,0.109546790189337,"5","3","3"
